Customer,recency,frequency,monetary,R_Quartile,F_Quartile,M_Quartile,RFMClass
Aaron Adams,275,4,117.96000000000001,4,2,3,423
Aaron Alexander,46,1,69.99,1,4,3,143
Aaron Allen,788,1,3399.99,4,4,1,441
Aaron Baker,141,2,1750.98,2,3,2,232
Aaron Bryant,186,5,133.96,3,1,3,313
Aaron Butler,33,2,14.98,1,3,4,134
Aaron Campbell,140,2,1155.48,2,3,2,232
Aaron Carter,37,2,39.980000000000004,1,3,4,134
Aaron Chen,199,2,39.980000000000004,3,3,4,334
Aaron Coleman,54,3,61.96,1,3,3,133
Aaron Collins,73,4,6047.32,1,2,1,121
Aaron Diaz,309,3,6029.57,4,3,1,431
Aaron Edwards,240,2,94.47999999999999,3,3,3,333
Aaron Evans,231,4,2433.0399999999995,3,2,2,322
Aaron Flores,199,5,1538.5582000000002,3,1,2,312
Aaron Foster,52,10,4912.469999999999,1,1,1,111
Aaron Gonzales,43,4,1810.46,1,2,2,122
Aaron Gonzalez,110,3,132.97,2,3,3,233
Aaron Green,229,2,27.279999999999998,3,3,4,334
Aaron Griffin,212,3,71.58000000000001,3,3,3,333
Aaron Hall,259,1,28.99,3,4,4,344
Aaron Hayes,122,3,3112.9699999999993,2,3,1,231
Aaron Henderson,26,2,27.279999999999998,1,3,4,134
Aaron Hernandez,159,2,94.47999999999999,2,3,3,233
Aaron Hill,280,3,35.96,4,3,4,434
Aaron Hughes,149,5,4456.138199999999,2,1,1,211
Aaron Jai,147,2,574.98,2,3,2,232
Aaron Jenkins,314,2,119.97999999999999,4,3,3,433
Aaron King,287,6,4758.029999999999,4,1,1,411
Aaron Kumar,454,1,2049.0982,4,4,2,442
Aaron Lal,84,3,2309.9699999999993,1,3,2,132
Aaron Li,180,6,3170.1999999999994,3,1,1,311
Aaron McDonald,237,2,119.97999999999999,3,3,3,333
Aaron Mitchell,165,2,49.48,2,3,4,234
Aaron Nelson,219,5,2881.7395999999994,3,1,1,311
Aaron Patterson,220,4,1184.46,3,2,2,322
Aaron Perez,255,3,191.28,3,3,3,333
Aaron Perry,294,2,71.97,4,3,3,433
Aaron Phillips,240,2,39.980000000000004,3,3,4,334
Aaron Powell,223,1,4.99,3,4,4,344
Aaron Roberts,320,2,119.97999999999999,4,3,3,433
Aaron Ross,316,3,2376.9599999999996,4,3,2,432
Aaron Russell,48,2,1174.48,1,3,2,132
Aaron Scott,192,4,2492.3199999999993,3,2,2,322
Aaron Shan,239,3,68.97,3,3,3,333
Aaron Sharma,28,3,87.28000000000002,1,3,3,133
Aaron Simmons,266,2,85.48,4,3,3,433
Aaron Wang,330,4,5944.73,4,2,1,421
Aaron Washington,238,1,4.99,3,4,4,344
Aaron Wright,217,9,10813.63,3,1,1,311
Aaron Yang,83,2,54.980000000000004,1,3,3,133
Aaron Young,356,6,6023.73,4,1,1,411
Aaron Zhang,284,4,600.46,4,2,2,422
Abby Arthur,91,5,4390.69,2,1,1,211
Abby Chandra,136,2,58.980000000000004,2,3,3,233
Abby Fernandez,112,2,37.29,2,3,4,234
Abby Garcia,233,3,1293.33,3,3,2,332
Abby Gonzalez,207,5,616.95,3,1,2,312
Abby Kapoor,226,2,751.34,3,3,2,332
Abby Kovár,380,4,600.46,4,2,2,422
Abby Lopez,199,2,56.97,3,3,3,333
Abby Madan,59,3,37.269999999999996,1,3,4,134
Abby Martinez,326,2,54.980000000000004,4,3,3,433
Abby Mehta,227,1,21.98,3,4,4,344
Abby Patel,53,3,3807.3995999999997,1,3,1,131
Abby Perez,251,3,92.47999999999999,3,3,3,333
Abby Raman,45,6,5193.719599999999,1,1,1,111
Abby Rana,85,3,36.96,2,3,4,234
Abby Sai,213,7,8262.519999999999,3,1,1,311
Abby Sanchez,235,2,6021.62,3,3,1,331
Abby Sandberg,98,5,5948.23,2,1,1,211
Abby Subram,34,13,7494.879599999998,1,1,1,111
Abhijit Thakur,240,2,27.279999999999998,3,3,4,334
Abigail Alexander,297,2,32.28,4,3,4,434
Abigail Anderson,146,2,46.47,2,3,4,234
Abigail Bailey,412,1,2071.4196,4,4,2,442
Abigail Barnes,19,8,1436.92,1,1,2,112
Abigail Bell,277,2,71.97,4,3,3,433
Abigail Bennett,292,1,2.29,4,4,4,444
Abigail Brooks,225,2,5898.26,3,3,1,331
Abigail Bryant,316,1,539.99,4,4,2,442
Abigail Butler,237,3,1779.47,3,3,2,332
Abigail Clark,161,4,5913.24,2,2,1,221
Abigail Coleman,97,6,5949.88,2,1,1,211
Abigail Cook,90,1,539.99,2,4,2,242
Abigail Cooper,39,2,603.49,1,3,2,132
Abigail Cox,104,4,1151.76,2,2,2,222
Abigail Diaz,43,8,2958.93,1,1,1,111
Abigail Flores,234,1,29.99,3,4,4,344
Abigail Foster,56,5,6039.73,1,1,1,111
Abigail Garcia,306,7,190.54000000000002,4,1,3,413
Abigail Gonzales,74,2,3648.2599999999998,1,3,1,131
Abigail Griffin,73,3,2518.97,1,3,1,131
Abigail Harris,963,1,3578.27,4,4,1,441
Abigail Henderson,55,6,5958.219999999999,1,1,1,111
Abigail Howard,316,5,5948.24,4,1,1,411
Abigail Hughes,167,7,2987.0099999999998,2,1,1,211
Abigail James,358,3,71.58000000000001,4,3,3,433
Abigail Jenkins,59,2,1552.48,1,3,2,132
Abigail Johnson,88,2,39.980000000000004,2,3,4,234
Abigail Jones,64,5,137.96,1,1,3,113
Abigail Kelly,136,3,4509.479600000001,2,3,1,231
Abigail Lewis,350,3,64.97,4,3,3,433
